lemma	trans	freq	freq_art	rel
truhtin	Herr, Herrscher	398	5	0,01
muot	Seele, Herz, Gemüt	224	36	0,16
wëralt	Welt	155	15	0,1
wiht	Ding, etwas	110	0	0
hant	Hand	84	10	0,12
