lemma	trans	freq	freq_art	rel
ewawart	Hohepriester	7	7	1
herizoho	Heerführer, Statthalter	4	4	1
heristo	Höchster, Erster	3	3	1
dorn	Dorn, Stachel, Dornstrauch, Gestrüpp	2	2	1
managi	Menge, Schar	2	2	1
