lemma	trans	freq	freq_art	rel
got	Gott	28	0	0
guot	Gut, Besitz	24	2	0,08
giwalt	Gewalt	21	4	0,19
rëht	Recht	21	1	0,05
situ	Sitte, Gewohnheit, Brauch	19	1	0,05
