lemma	trans	freq	freq_art	rel
sun	Sohn	24	1	0,04
wort	Wort	18	1	0,06
truhtin	Herr	18	0	0
himil	Himmel	16	0	0
diota	Volk(sstamm), Menschen	13	1	0,08
