lemma	trans	freq	freq_art	rel
grab	Grab, Gruft, Grabstätte	34	31	0,91
ewawarto	(Hohe)priester	21	19	0,9
gimuoti	Gnade, Liebe, Wohltat	16	13	0,81
unda	Welle, Woge, Wasser, Flut	11	11	1
herosto	Erster, Höchster	10	9	0,9
