lemma	trans	freq	freq_art	rel
hertuom	Herrschaft, Senat	6	6	1
keisar	Kaiser	6	5	0,83
lihhamo	Körper, Leib	5	4	0,8
finstari	Finsternis, Dunkelheit	4	4	1
heroti	Obrigkeit, Senat, Rat	4	4	1
