lemma	trans	freq	freq_art	rel
forasago	Prophet	25	20	0,8
drinissa	Dreiheit, Dreifaltigkeit	13	11	0,85
burg	Burg, Stadt	5	4	0,8
folk	Volk	3	3	1
magad	Magd, Jungfrau	3	3	1
